*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 21 2024 21:50:18
*************************************************
parsing config file: /home/shichen/os/compile-time-prefetcher-classification/ChampSim/config/spp_dev2.ini

trace_0 /home/shichen/os/compile-time-prefetcher-classification/ChampSim/traces/607.cactuBSSN_s-4004B.champsimtrace.xz
Heartbeat CPU  0 instructions:   35000002 cycles:   19945191 heartbeat IPC: 1.75576 cumulative IPC: 1.75481 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   20514862 heartbeat IPC: 1.75540 cumulative IPC: 1.75483 (Simulation time: 0 hr 1 min 33 sec) 
Heartbeat CPU  0 instructions:   37000002 cycles:   21084729 heartbeat IPC: 1.75480 cumulative IPC: 1.75482 (Simulation time: 0 hr 1 min 36 sec) 
Heartbeat CPU  0 instructions:   38000001 cycles:   21654997 heartbeat IPC: 1.75356 cumulative IPC: 1.75479 (Simulation time: 0 hr 1 min 38 sec) 
Heartbeat CPU  0 instructions:   39000000 cycles:   22224925 heartbeat IPC: 1.75461 cumulative IPC: 1.75479 (Simulation time: 0 hr 1 min 41 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   22794181 heartbeat IPC: 1.75668 cumulative IPC: 1.75483 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  0 instructions:   41000000 cycles:   23364418 heartbeat IPC: 1.75366 cumulative IPC: 1.75481 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   42000003 cycles:   23934594 heartbeat IPC: 1.75385 cumulative IPC: 1.75478 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  0 instructions:   43000002 cycles:   24504011 heartbeat IPC: 1.75618 cumulative IPC: 1.75481 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   25073909 heartbeat IPC: 1.75470 cumulative IPC: 1.75481 (Simulation time: 0 hr 1 min 54 sec) 
Heartbeat CPU  0 instructions:   45000002 cycles:   25643745 heartbeat IPC: 1.75489 cumulative IPC: 1.75481 (Simulation time: 0 hr 1 min 56 sec) 
Heartbeat CPU  0 instructions:   46000002 cycles:   26213378 heartbeat IPC: 1.75552 cumulative IPC: 1.75483 (Simulation time: 0 hr 1 min 59 sec) 
Heartbeat CPU  0 instructions:   47000000 cycles:   26783626 heartbeat IPC: 1.75362 cumulative IPC: 1.75480 (Simulation time: 0 hr 2 min 2 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   27353215 heartbeat IPC: 1.75565 cumulative IPC: 1.75482 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  0 instructions:   49000000 cycles:   27923101 heartbeat IPC: 1.75474 cumulative IPC: 1.75482 (Simulation time: 0 hr 2 min 7 sec) 
Heartbeat CPU  0 instructions:   50000000 cycles:   28493121 heartbeat IPC: 1.75432 cumulative IPC: 1.75481 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  0 instructions:   51000002 cycles:   29062932 heartbeat IPC: 1.75497 cumulative IPC: 1.75481 (Simulation time: 0 hr 2 min 12 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   29632907 heartbeat IPC: 1.75446 cumulative IPC: 1.75481 (Simulation time: 0 hr 2 min 15 sec) 
Heartbeat CPU  0 instructions:   53000003 cycles:   30202552 heartbeat IPC: 1.75548 cumulative IPC: 1.75482 (Simulation time: 0 hr 2 min 17 sec) 
Heartbeat CPU  0 instructions:   54000002 cycles:   30772574 heartbeat IPC: 1.75432 cumulative IPC: 1.75481 (Simulation time: 0 hr 2 min 20 sec) 
Heartbeat CPU  0 instructions:   55000000 cycles:   31342874 heartbeat IPC: 1.75346 cumulative IPC: 1.75478 (Simulation time: 0 hr 2 min 22 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   31912343 heartbeat IPC: 1.75602 cumulative IPC: 1.75481 (Simulation time: 0 hr 2 min 25 sec) 
Heartbeat CPU  0 instructions:   57000003 cycles:   32482534 heartbeat IPC: 1.75380 cumulative IPC: 1.75479 (Simulation time: 0 hr 2 min 28 sec) 
Heartbeat CPU  0 instructions:   58000000 cycles:   33052572 heartbeat IPC: 1.75426 cumulative IPC: 1.75478 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  0 instructions:   59000002 cycles:   33622419 heartbeat IPC: 1.75486 cumulative IPC: 1.75478 (Simulation time: 0 hr 2 min 33 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   34191904 heartbeat IPC: 1.75597 cumulative IPC: 1.75480 (Simulation time: 0 hr 2 min 35 sec) 
Heartbeat CPU  0 instructions:   61000001 cycles:   34761810 heartbeat IPC: 1.75468 cumulative IPC: 1.75480 (Simulation time: 0 hr 2 min 38 sec) 
Heartbeat CPU  0 instructions:   62000000 cycles:   35331851 heartbeat IPC: 1.75426 cumulative IPC: 1.75479 (Simulation time: 0 hr 2 min 40 sec) 
Heartbeat CPU  0 instructions:   63000000 cycles:   35901673 heartbeat IPC: 1.75493 cumulative IPC: 1.75479 (Simulation time: 0 hr 2 min 43 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   36471022 heartbeat IPC: 1.75639 cumulative IPC: 1.75482 (Simulation time: 0 hr 2 min 46 sec) 
Heartbeat CPU  0 instructions:   65000000 cycles:   37041352 heartbeat IPC: 1.75337 cumulative IPC: 1.75480 (Simulation time: 0 hr 2 min 48 sec) 
Heartbeat CPU  0 instructions:   66000003 cycles:   37610894 heartbeat IPC: 1.75580 cumulative IPC: 1.75481 (Simulation time: 0 hr 2 min 51 sec) 
Heartbeat CPU  0 instructions:   67000002 cycles:   38180716 heartbeat IPC: 1.75493 cumulative IPC: 1.75481 (Simulation time: 0 hr 2 min 53 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   38750380 heartbeat IPC: 1.75542 cumulative IPC: 1.75482 (Simulation time: 0 hr 2 min 56 sec) 
Heartbeat CPU  0 instructions:   69000002 cycles:   39320273 heartbeat IPC: 1.75472 cumulative IPC: 1.75482 (Simulation time: 0 hr 2 min 59 sec) 
Heartbeat CPU  0 instructions:   70000002 cycles:   39889962 heartbeat IPC: 1.75534 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 1 sec) 
Heartbeat CPU  0 instructions:   71000000 cycles:   40460222 heartbeat IPC: 1.75358 cumulative IPC: 1.75481 (Simulation time: 0 hr 3 min 4 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   41029610 heartbeat IPC: 1.75627 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 7 sec) 
Heartbeat CPU  0 instructions:   73000000 cycles:   41599572 heartbeat IPC: 1.75450 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 9 sec) 
Heartbeat CPU  0 instructions:   74000000 cycles:   42169481 heartbeat IPC: 1.75467 cumulative IPC: 1.75482 (Simulation time: 0 hr 3 min 12 sec) 
Heartbeat CPU  0 instructions:   75000002 cycles:   42739450 heartbeat IPC: 1.75448 cumulative IPC: 1.75482 (Simulation time: 0 hr 3 min 14 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   43309082 heartbeat IPC: 1.75552 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 17 sec) 
Heartbeat CPU  0 instructions:   77000000 cycles:   43878971 heartbeat IPC: 1.75473 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 20 sec) 
Heartbeat CPU  0 instructions:   78000000 cycles:   44448767 heartbeat IPC: 1.75501 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 22 sec) 
Heartbeat CPU  0 instructions:   79000000 cycles:   45018856 heartbeat IPC: 1.75411 cumulative IPC: 1.75482 (Simulation time: 0 hr 3 min 25 sec) 
Heartbeat CPU  0 instructions:   80000000 cycles:   45587957 heartbeat IPC: 1.75716 cumulative IPC: 1.75485 (Simulation time: 0 hr 3 min 27 sec) 
Heartbeat CPU  0 instructions:   81000000 cycles:   46158296 heartbeat IPC: 1.75334 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 30 sec) 
Heartbeat CPU  0 instructions:   82000001 cycles:   46728394 heartbeat IPC: 1.75409 cumulative IPC: 1.75482 (Simulation time: 0 hr 3 min 33 sec) 
Heartbeat CPU  0 instructions:   83000000 cycles:   47297778 heartbeat IPC: 1.75628 cumulative IPC: 1.75484 (Simulation time: 0 hr 3 min 35 sec) 
Heartbeat CPU  0 instructions:   84000000 cycles:   47867473 heartbeat IPC: 1.75533 cumulative IPC: 1.75485 (Simulation time: 0 hr 3 min 38 sec) 
Heartbeat CPU  0 instructions:   85000002 cycles:   48437931 heartbeat IPC: 1.75298 cumulative IPC: 1.75482 (Simulation time: 0 hr 3 min 40 sec) 
Heartbeat CPU  0 instructions:   86000003 cycles:   49007549 heartbeat IPC: 1.75556 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 43 sec) 
Heartbeat CPU  0 instructions:   87000002 cycles:   49577324 heartbeat IPC: 1.75508 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 46 sec) 
Heartbeat CPU  0 instructions:   88000000 cycles:   50147071 heartbeat IPC: 1.75516 cumulative IPC: 1.75484 (Simulation time: 0 hr 3 min 48 sec) 
Heartbeat CPU  0 instructions:   89000000 cycles:   50717119 heartbeat IPC: 1.75424 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 51 sec) 
Heartbeat CPU  0 instructions:   90000001 cycles:   51287351 heartbeat IPC: 1.75367 cumulative IPC: 1.75482 (Simulation time: 0 hr 3 min 54 sec) 
Heartbeat CPU  0 instructions:   91000000 cycles:   51857203 heartbeat IPC: 1.75484 cumulative IPC: 1.75482 (Simulation time: 0 hr 3 min 56 sec) 
Heartbeat CPU  0 instructions:   92000000 cycles:   52426825 heartbeat IPC: 1.75555 cumulative IPC: 1.75483 (Simulation time: 0 hr 3 min 59 sec) 
Heartbeat CPU  0 instructions:   93000002 cycles:   52997000 heartbeat IPC: 1.75385 cumulative IPC: 1.75482 (Simulation time: 0 hr 4 min 1 sec) 
Heartbeat CPU  0 instructions:   94000000 cycles:   53567000 heartbeat IPC: 1.75438 cumulative IPC: 1.75481 (Simulation time: 0 hr 4 min 4 sec) 
Heartbeat CPU  0 instructions:   95000002 cycles:   54137103 heartbeat IPC: 1.75407 cumulative IPC: 1.75480 (Simulation time: 0 hr 4 min 7 sec) 
Heartbeat CPU  0 instructions:   96000000 cycles:   54706598 heartbeat IPC: 1.75594 cumulative IPC: 1.75482 (Simulation time: 0 hr 4 min 9 sec) 
Heartbeat CPU  0 instructions:   97000003 cycles:   55276649 heartbeat IPC: 1.75423 cumulative IPC: 1.75481 (Simulation time: 0 hr 4 min 12 sec) 
Heartbeat CPU  0 instructions:   98000001 cycles:   55847063 heartbeat IPC: 1.75311 cumulative IPC: 1.75479 (Simulation time: 0 hr 4 min 14 sec) 
Heartbeat CPU  0 instructions:   99000000 cycles:   56416595 heartbeat IPC: 1.75583 cumulative IPC: 1.75480 (Simulation time: 0 hr 4 min 17 sec) 
Heartbeat CPU  0 instructions:  100000000 cycles:   56986008 heartbeat IPC: 1.75619 cumulative IPC: 1.75482 (Simulation time: 0 hr 4 min 20 sec) 

Warmup complete CPU  0 instructions:  100000001 cycles:   56986024 (Simulation time: 0 hr 4 min 20 sec) 

Heartbeat CPU  0 instructions:  101000001 cycles:   57906567 heartbeat IPC: 1.08630 cumulative IPC: 1.08632 (Simulation time: 0 hr 4 min 23 sec) 
Heartbeat CPU  0 instructions:  102000000 cycles:   58814287 heartbeat IPC: 1.10166 cumulative IPC: 1.09393 (Simulation time: 0 hr 4 min 26 sec) 
Heartbeat CPU  0 instructions:  103000002 cycles:   59735363 heartbeat IPC: 1.08569 cumulative IPC: 1.09117 (Simulation time: 0 hr 4 min 29 sec) 
Heartbeat CPU  0 instructions:  104000000 cycles:   60651988 heartbeat IPC: 1.09096 cumulative IPC: 1.09112 (Simulation time: 0 hr 4 min 32 sec) 
Heartbeat CPU  0 instructions:  105000002 cycles:   61567529 heartbeat IPC: 1.09225 cumulative IPC: 1.09134 (Simulation time: 0 hr 4 min 35 sec) 
Heartbeat CPU  0 instructions:  106000001 cycles:   62492800 heartbeat IPC: 1.08076 cumulative IPC: 1.08957 (Simulation time: 0 hr 4 min 38 sec) 
Heartbeat CPU  0 instructions:  107000002 cycles:   63409083 heartbeat IPC: 1.09137 cumulative IPC: 1.08982 (Simulation time: 0 hr 4 min 42 sec) 
Heartbeat CPU  0 instructions:  108000000 cycles:   64313151 heartbeat IPC: 1.10611 cumulative IPC: 1.09183 (Simulation time: 0 hr 4 min 45 sec) 
Heartbeat CPU  0 instructions:  109000001 cycles:   65222983 heartbeat IPC: 1.09911 cumulative IPC: 1.09264 (Simulation time: 0 hr 4 min 48 sec) 
Heartbeat CPU  0 instructions:  110000001 cycles:   66131975 heartbeat IPC: 1.10012 cumulative IPC: 1.09338 (Simulation time: 0 hr 4 min 51 sec) 
Heartbeat CPU  0 instructions:  111000000 cycles:   67036286 heartbeat IPC: 1.10581 cumulative IPC: 1.09450 (Simulation time: 0 hr 4 min 54 sec) 
Heartbeat CPU  0 instructions:  112000000 cycles:   67946314 heartbeat IPC: 1.09887 cumulative IPC: 1.09486 (Simulation time: 0 hr 4 min 57 sec) 
Heartbeat CPU  0 instructions:  113000002 cycles:   68853762 heartbeat IPC: 1.10199 cumulative IPC: 1.09541 (Simulation time: 0 hr 5 min 0 sec) 
Heartbeat CPU  0 instructions:  114000003 cycles:   69771744 heartbeat IPC: 1.08935 cumulative IPC: 1.09497 (Simulation time: 0 hr 5 min 3 sec) 
Heartbeat CPU  0 instructions:  115000001 cycles:   70685755 heartbeat IPC: 1.09408 cumulative IPC: 1.09491 (Simulation time: 0 hr 5 min 6 sec) 
Heartbeat CPU  0 instructions:  116000000 cycles:   71587422 heartbeat IPC: 1.10906 cumulative IPC: 1.09579 (Simulation time: 0 hr 5 min 10 sec) 
Heartbeat CPU  0 instructions:  117000001 cycles:   72507663 heartbeat IPC: 1.08667 cumulative IPC: 1.09525 (Simulation time: 0 hr 5 min 13 sec) 
Heartbeat CPU  0 instructions:  118000001 cycles:   73420078 heartbeat IPC: 1.09599 cumulative IPC: 1.09529 (Simulation time: 0 hr 5 min 16 sec) 
Heartbeat CPU  0 instructions:  119000001 cycles:   74322930 heartbeat IPC: 1.10760 cumulative IPC: 1.09593 (Simulation time: 0 hr 5 min 19 sec) 
Heartbeat CPU  0 instructions:  120000000 cycles:   75241266 heartbeat IPC: 1.08893 cumulative IPC: 1.09558 (Simulation time: 0 hr 5 min 22 sec) 
Heartbeat CPU  0 instructions:  121000000 cycles:   76148105 heartbeat IPC: 1.10273 cumulative IPC: 1.09591 (Simulation time: 0 hr 5 min 26 sec) 
Heartbeat CPU  0 instructions:  122000003 cycles:   77064532 heartbeat IPC: 1.09120 cumulative IPC: 1.09570 (Simulation time: 0 hr 5 min 29 sec) 
Heartbeat CPU  0 instructions:  123000002 cycles:   77982981 heartbeat IPC: 1.08879 cumulative IPC: 1.09540 (Simulation time: 0 hr 5 min 32 sec) 
Heartbeat CPU  0 instructions:  124000000 cycles:   78891291 heartbeat IPC: 1.10094 cumulative IPC: 1.09563 (Simulation time: 0 hr 5 min 35 sec) 
Heartbeat CPU  0 instructions:  125000001 cycles:   79821233 heartbeat IPC: 1.07534 cumulative IPC: 1.09480 (Simulation time: 0 hr 5 min 38 sec) 
Heartbeat CPU  0 instructions:  126000001 cycles:   80736214 heartbeat IPC: 1.09292 cumulative IPC: 1.09473 (Simulation time: 0 hr 5 min 41 sec) 
Heartbeat CPU  0 instructions:  127000001 cycles:   81637873 heartbeat IPC: 1.10907 cumulative IPC: 1.09525 (Simulation time: 0 hr 5 min 44 sec) 
Heartbeat CPU  0 instructions:  128000000 cycles:   82545722 heartbeat IPC: 1.10150 cumulative IPC: 1.09547 (Simulation time: 0 hr 5 min 47 sec) 
Heartbeat CPU  0 instructions:  129000000 cycles:   83456787 heartbeat IPC: 1.09762 cumulative IPC: 1.09555 (Simulation time: 0 hr 5 min 51 sec) 
Heartbeat CPU  0 instructions:  130000003 cycles:   84360470 heartbeat IPC: 1.10659 cumulative IPC: 1.09591 (Simulation time: 0 hr 5 min 54 sec) 
Heartbeat CPU  0 instructions:  131000000 cycles:   85278105 heartbeat IPC: 1.08975 cumulative IPC: 1.09571 (Simulation time: 0 hr 5 min 57 sec) 
Heartbeat CPU  0 instructions:  132000000 cycles:   86182732 heartbeat IPC: 1.10543 cumulative IPC: 1.09601 (Simulation time: 0 hr 6 min 0 sec) 
Heartbeat CPU  0 instructions:  133000002 cycles:   87092327 heartbeat IPC: 1.09939 cumulative IPC: 1.09612 (Simulation time: 0 hr 6 min 3 sec) 
Heartbeat CPU  0 instructions:  134000002 cycles:   88001659 heartbeat IPC: 1.09971 cumulative IPC: 1.09622 (Simulation time: 0 hr 6 min 6 sec) 
Heartbeat CPU  0 instructions:  135000002 cycles:   88904814 heartbeat IPC: 1.10723 cumulative IPC: 1.09653 (Simulation time: 0 hr 6 min 10 sec) 
Heartbeat CPU  0 instructions:  136000000 cycles:   89810275 heartbeat IPC: 1.10441 cumulative IPC: 1.09675 (Simulation time: 0 hr 6 min 13 sec) 
Heartbeat CPU  0 instructions:  137000001 cycles:   90720952 heartbeat IPC: 1.09809 cumulative IPC: 1.09679 (Simulation time: 0 hr 6 min 16 sec) 
Heartbeat CPU  0 instructions:  138000000 cycles:   91623174 heartbeat IPC: 1.10837 cumulative IPC: 1.09709 (Simulation time: 0 hr 6 min 20 sec) 
Heartbeat CPU  0 instructions:  139000003 cycles:   92550351 heartbeat IPC: 1.07855 cumulative IPC: 1.09660 (Simulation time: 0 hr 6 min 23 sec) 
Heartbeat CPU  0 instructions:  140000000 cycles:   93461705 heartbeat IPC: 1.09727 cumulative IPC: 1.09662 (Simulation time: 0 hr 6 min 26 sec) 
Heartbeat CPU  0 instructions:  141000002 cycles:   94372032 heartbeat IPC: 1.09851 cumulative IPC: 1.09667 (Simulation time: 0 hr 6 min 29 sec) 
Heartbeat CPU  0 instructions:  142000002 cycles:   95289261 heartbeat IPC: 1.09024 cumulative IPC: 1.09651 (Simulation time: 0 hr 6 min 32 sec) 
Heartbeat CPU  0 instructions:  143000002 cycles:   96193765 heartbeat IPC: 1.10558 cumulative IPC: 1.09672 (Simulation time: 0 hr 6 min 36 sec) 
Heartbeat CPU  0 instructions:  144000000 cycles:   97101156 heartbeat IPC: 1.10206 cumulative IPC: 1.09684 (Simulation time: 0 hr 6 min 39 sec) 
Heartbeat CPU  0 instructions:  145000002 cycles:   98009420 heartbeat IPC: 1.10100 cumulative IPC: 1.09694 (Simulation time: 0 hr 6 min 42 sec) 
Heartbeat CPU  0 instructions:  146000000 cycles:   98913908 heartbeat IPC: 1.10560 cumulative IPC: 1.09712 (Simulation time: 0 hr 6 min 46 sec) 
Heartbeat CPU  0 instructions:  147000003 cycles:   99825532 heartbeat IPC: 1.09695 cumulative IPC: 1.09712 (Simulation time: 0 hr 6 min 49 sec) 
