*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 21 2024 21:50:18
*************************************************
parsing config file: /home/shichen/os/compile-time-prefetcher-classification/ChampSim/config/mlop.ini

trace_0 /home/shichen/os/compile-time-prefetcher-classification/ChampSim/traces/433.milc-337B.champsimtrace.xz
Heartbeat CPU  0 instructions:   21000002 cycles:    7544025 heartbeat IPC: 2.78393 cumulative IPC: 2.78366 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  0 instructions:   22000000 cycles:    7903312 heartbeat IPC: 2.78328 cumulative IPC: 2.78364 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  0 instructions:   23000002 cycles:    8262513 heartbeat IPC: 2.78396 cumulative IPC: 2.78366 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:    8621668 heartbeat IPC: 2.78431 cumulative IPC: 2.78368 (Simulation time: 0 hr 0 min 41 sec) 
Heartbeat CPU  0 instructions:   25000000 cycles:    8980989 heartbeat IPC: 2.78303 cumulative IPC: 2.78366 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   26000001 cycles:    9340256 heartbeat IPC: 2.78345 cumulative IPC: 2.78365 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:    9699393 heartbeat IPC: 2.78445 cumulative IPC: 2.78368 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   10058614 heartbeat IPC: 2.78380 cumulative IPC: 2.78368 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   29000003 cycles:   10417935 heartbeat IPC: 2.78304 cumulative IPC: 2.78366 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   30000000 cycles:   10777120 heartbeat IPC: 2.78407 cumulative IPC: 2.78367 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   11136287 heartbeat IPC: 2.78423 cumulative IPC: 2.78369 (Simulation time: 0 hr 0 min 54 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   11495543 heartbeat IPC: 2.78352 cumulative IPC: 2.78369 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:   33000002 cycles:   11854783 heartbeat IPC: 2.78366 cumulative IPC: 2.78369 (Simulation time: 0 hr 0 min 57 sec) 
Heartbeat CPU  0 instructions:   34000001 cycles:   12213923 heartbeat IPC: 2.78443 cumulative IPC: 2.78371 (Simulation time: 0 hr 0 min 59 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   12573212 heartbeat IPC: 2.78327 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 1 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   12932503 heartbeat IPC: 2.78326 cumulative IPC: 2.78368 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  0 instructions:   37000001 cycles:   13291643 heartbeat IPC: 2.78443 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  0 instructions:   38000001 cycles:   13650885 heartbeat IPC: 2.78364 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 6 sec) 
Heartbeat CPU  0 instructions:   39000001 cycles:   14010198 heartbeat IPC: 2.78309 cumulative IPC: 2.78369 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   14369368 heartbeat IPC: 2.78419 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   41000001 cycles:   14728592 heartbeat IPC: 2.78378 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:   42000002 cycles:   15087849 heartbeat IPC: 2.78353 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   43000003 cycles:   15447060 heartbeat IPC: 2.78388 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 14 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   15806213 heartbeat IPC: 2.78432 cumulative IPC: 2.78372 (Simulation time: 0 hr 1 min 16 sec) 
Heartbeat CPU  0 instructions:   45000000 cycles:   16165528 heartbeat IPC: 2.78307 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 18 sec) 
Heartbeat CPU  0 instructions:   46000003 cycles:   16524779 heartbeat IPC: 2.78358 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 20 sec) 
Heartbeat CPU  0 instructions:   47000003 cycles:   16883903 heartbeat IPC: 2.78455 cumulative IPC: 2.78372 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   17243142 heartbeat IPC: 2.78365 cumulative IPC: 2.78372 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:   49000001 cycles:   17602471 heartbeat IPC: 2.78297 cumulative IPC: 2.78370 (Simulation time: 0 hr 1 min 25 sec) 
Heartbeat CPU  0 instructions:   50000000 cycles:   17961664 heartbeat IPC: 2.78402 cumulative IPC: 2.78371 (Simulation time: 0 hr 1 min 26 sec) 
Heartbeat CPU  0 instructions:   51000000 cycles:   18515983 heartbeat IPC: 1.80402 cumulative IPC: 2.75438 (Simulation time: 0 hr 1 min 28 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   19072668 heartbeat IPC: 1.79635 cumulative IPC: 2.72641 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  0 instructions:   53000000 cycles:   19432486 heartbeat IPC: 2.77918 cumulative IPC: 2.72739 (Simulation time: 0 hr 1 min 32 sec) 
Heartbeat CPU  0 instructions:   54000002 cycles:   19792294 heartbeat IPC: 2.77927 cumulative IPC: 2.72833 (Simulation time: 0 hr 1 min 34 sec) 
Heartbeat CPU  0 instructions:   55000000 cycles:   20152043 heartbeat IPC: 2.77971 cumulative IPC: 2.72925 (Simulation time: 0 hr 1 min 35 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   20511874 heartbeat IPC: 2.77908 cumulative IPC: 2.73013 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  0 instructions:   57000001 cycles:   20871659 heartbeat IPC: 2.77944 cumulative IPC: 2.73098 (Simulation time: 0 hr 1 min 39 sec) 
Heartbeat CPU  0 instructions:   58000002 cycles:   21231445 heartbeat IPC: 2.77943 cumulative IPC: 2.73180 (Simulation time: 0 hr 1 min 40 sec) 
Heartbeat CPU  0 instructions:   59000000 cycles:   21591240 heartbeat IPC: 2.77935 cumulative IPC: 2.73259 (Simulation time: 0 hr 1 min 42 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   21951030 heartbeat IPC: 2.77940 cumulative IPC: 2.73336 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   61000003 cycles:   22310843 heartbeat IPC: 2.77923 cumulative IPC: 2.73410 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   62000003 cycles:   22670627 heartbeat IPC: 2.77945 cumulative IPC: 2.73482 (Simulation time: 0 hr 1 min 47 sec) 
Heartbeat CPU  0 instructions:   63000003 cycles:   23030420 heartbeat IPC: 2.77938 cumulative IPC: 2.73551 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   23390199 heartbeat IPC: 2.77948 cumulative IPC: 2.73619 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  0 instructions:   65000003 cycles:   23750025 heartbeat IPC: 2.77913 cumulative IPC: 2.73684 (Simulation time: 0 hr 1 min 52 sec) 
Heartbeat CPU  0 instructions:   66000000 cycles:   24109801 heartbeat IPC: 2.77950 cumulative IPC: 2.73748 (Simulation time: 0 hr 1 min 54 sec) 
Heartbeat CPU  0 instructions:   67000001 cycles:   24469611 heartbeat IPC: 2.77925 cumulative IPC: 2.73809 (Simulation time: 0 hr 1 min 56 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   24829392 heartbeat IPC: 2.77947 cumulative IPC: 2.73869 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  0 instructions:   69000001 cycles:   25189164 heartbeat IPC: 2.77954 cumulative IPC: 2.73927 (Simulation time: 0 hr 1 min 59 sec) 
Heartbeat CPU  0 instructions:   70000002 cycles:   25549001 heartbeat IPC: 2.77904 cumulative IPC: 2.73983 (Simulation time: 0 hr 2 min 1 sec) 
Heartbeat CPU  0 instructions:   71000003 cycles:   25908766 heartbeat IPC: 2.77959 cumulative IPC: 2.74039 (Simulation time: 0 hr 2 min 2 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   26268577 heartbeat IPC: 2.77923 cumulative IPC: 2.74092 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  0 instructions:   73000002 cycles:   26628361 heartbeat IPC: 2.77945 cumulative IPC: 2.74144 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  0 instructions:   74000003 cycles:   26988144 heartbeat IPC: 2.77946 cumulative IPC: 2.74194 (Simulation time: 0 hr 2 min 8 sec) 
Heartbeat CPU  0 instructions:   75000000 cycles:   27347943 heartbeat IPC: 2.77932 cumulative IPC: 2.74244 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   27707759 heartbeat IPC: 2.77920 cumulative IPC: 2.74291 (Simulation time: 0 hr 2 min 11 sec) 
Heartbeat CPU  0 instructions:   77000001 cycles:   28067548 heartbeat IPC: 2.77941 cumulative IPC: 2.74338 (Simulation time: 0 hr 2 min 13 sec) 
Heartbeat CPU  0 instructions:   78000000 cycles:   28427340 heartbeat IPC: 2.77938 cumulative IPC: 2.74384 (Simulation time: 0 hr 2 min 14 sec) 
Heartbeat CPU  0 instructions:   79000003 cycles:   28787141 heartbeat IPC: 2.77932 cumulative IPC: 2.74428 (Simulation time: 0 hr 2 min 16 sec) 
Heartbeat CPU  0 instructions:   80000000 cycles:   29146897 heartbeat IPC: 2.77965 cumulative IPC: 2.74472 (Simulation time: 0 hr 2 min 18 sec) 
Heartbeat CPU  0 instructions:   81000001 cycles:   29506745 heartbeat IPC: 2.77895 cumulative IPC: 2.74514 (Simulation time: 0 hr 2 min 19 sec) 
Heartbeat CPU  0 instructions:   82000000 cycles:   29866509 heartbeat IPC: 2.77960 cumulative IPC: 2.74555 (Simulation time: 0 hr 2 min 21 sec) 
Heartbeat CPU  0 instructions:   83000002 cycles:   30226307 heartbeat IPC: 2.77934 cumulative IPC: 2.74595 (Simulation time: 0 hr 2 min 23 sec) 
Heartbeat CPU  0 instructions:   84000000 cycles:   30586080 heartbeat IPC: 2.77952 cumulative IPC: 2.74635 (Simulation time: 0 hr 2 min 24 sec) 
Heartbeat CPU  0 instructions:   85000000 cycles:   30945910 heartbeat IPC: 2.77909 cumulative IPC: 2.74673 (Simulation time: 0 hr 2 min 26 sec) 
Heartbeat CPU  0 instructions:   86000002 cycles:   31305686 heartbeat IPC: 2.77951 cumulative IPC: 2.74710 (Simulation time: 0 hr 2 min 28 sec) 
Heartbeat CPU  0 instructions:   87000002 cycles:   31665481 heartbeat IPC: 2.77936 cumulative IPC: 2.74747 (Simulation time: 0 hr 2 min 30 sec) 
Heartbeat CPU  0 instructions:   88000000 cycles:   32025257 heartbeat IPC: 2.77950 cumulative IPC: 2.74783 (Simulation time: 0 hr 2 min 31 sec) 
Heartbeat CPU  0 instructions:   89000000 cycles:   32385076 heartbeat IPC: 2.77918 cumulative IPC: 2.74818 (Simulation time: 0 hr 2 min 33 sec) 
Heartbeat CPU  0 instructions:   90000002 cycles:   32744883 heartbeat IPC: 2.77927 cumulative IPC: 2.74852 (Simulation time: 0 hr 2 min 35 sec) 
Heartbeat CPU  0 instructions:   91000000 cycles:   33104634 heartbeat IPC: 2.77969 cumulative IPC: 2.74886 (Simulation time: 0 hr 2 min 36 sec) 
Heartbeat CPU  0 instructions:   92000000 cycles:   33464462 heartbeat IPC: 2.77911 cumulative IPC: 2.74919 (Simulation time: 0 hr 2 min 38 sec) 
Heartbeat CPU  0 instructions:   93000001 cycles:   33824246 heartbeat IPC: 2.77945 cumulative IPC: 2.74951 (Simulation time: 0 hr 2 min 40 sec) 
Heartbeat CPU  0 instructions:   94000002 cycles:   34184035 heartbeat IPC: 2.77941 cumulative IPC: 2.74982 (Simulation time: 0 hr 2 min 41 sec) 
Heartbeat CPU  0 instructions:   95000000 cycles:   34543830 heartbeat IPC: 2.77935 cumulative IPC: 2.75013 (Simulation time: 0 hr 2 min 43 sec) 
Heartbeat CPU  0 instructions:   96000000 cycles:   34903617 heartbeat IPC: 2.77942 cumulative IPC: 2.75043 (Simulation time: 0 hr 2 min 45 sec) 
Heartbeat CPU  0 instructions:   97000003 cycles:   35263431 heartbeat IPC: 2.77922 cumulative IPC: 2.75073 (Simulation time: 0 hr 2 min 46 sec) 
Heartbeat CPU  0 instructions:   98000003 cycles:   35623218 heartbeat IPC: 2.77942 cumulative IPC: 2.75101 (Simulation time: 0 hr 2 min 48 sec) 
Heartbeat CPU  0 instructions:   99000003 cycles:   35983009 heartbeat IPC: 2.77939 cumulative IPC: 2.75130 (Simulation time: 0 hr 2 min 50 sec) 
Heartbeat CPU  0 instructions:  100000000 cycles:   36342787 heartbeat IPC: 2.77948 cumulative IPC: 2.75158 (Simulation time: 0 hr 2 min 52 sec) 

Warmup complete CPU  0 instructions:  100000003 cycles:   36342798 (Simulation time: 0 hr 2 min 52 sec) 

Heartbeat CPU  0 instructions:  101000003 cycles:   37534672 heartbeat IPC: 0.83901 cumulative IPC: 0.83901 (Simulation time: 0 hr 2 min 54 sec) 
Heartbeat CPU  0 instructions:  102000001 cycles:   38715498 heartbeat IPC: 0.84686 cumulative IPC: 0.84292 (Simulation time: 0 hr 2 min 56 sec) 
Heartbeat CPU  0 instructions:  103000002 cycles:   39904881 heartbeat IPC: 0.84077 cumulative IPC: 0.84220 (Simulation time: 0 hr 2 min 58 sec) 
Heartbeat CPU  0 instructions:  104000000 cycles:   41082728 heartbeat IPC: 0.84900 cumulative IPC: 0.84389 (Simulation time: 0 hr 3 min 1 sec) 
Heartbeat CPU  0 instructions:  105000002 cycles:   42268307 heartbeat IPC: 0.84347 cumulative IPC: 0.84381 (Simulation time: 0 hr 3 min 3 sec) 
Heartbeat CPU  0 instructions:  106000003 cycles:   43451482 heartbeat IPC: 0.84518 cumulative IPC: 0.84404 (Simulation time: 0 hr 3 min 5 sec) 
Heartbeat CPU  0 instructions:  107000002 cycles:   44639170 heartbeat IPC: 0.84197 cumulative IPC: 0.84374 (Simulation time: 0 hr 3 min 8 sec) 
Heartbeat CPU  0 instructions:  108000000 cycles:   45828084 heartbeat IPC: 0.84110 cumulative IPC: 0.84341 (Simulation time: 0 hr 3 min 10 sec) 
Heartbeat CPU  0 instructions:  109000002 cycles:   47015107 heartbeat IPC: 0.84245 cumulative IPC: 0.84330 (Simulation time: 0 hr 3 min 12 sec) 
Heartbeat CPU  0 instructions:  110000000 cycles:   48202784 heartbeat IPC: 0.84198 cumulative IPC: 0.84317 (Simulation time: 0 hr 3 min 15 sec) 
Heartbeat CPU  0 instructions:  111000001 cycles:   49384729 heartbeat IPC: 0.84606 cumulative IPC: 0.84343 (Simulation time: 0 hr 3 min 17 sec) 
Heartbeat CPU  0 instructions:  112000000 cycles:   50575585 heartbeat IPC: 0.83973 cumulative IPC: 0.84312 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  0 instructions:  113000003 cycles:   51761184 heartbeat IPC: 0.84346 cumulative IPC: 0.84315 (Simulation time: 0 hr 3 min 22 sec) 
Heartbeat CPU  0 instructions:  114000000 cycles:   52956322 heartbeat IPC: 0.83672 cumulative IPC: 0.84269 (Simulation time: 0 hr 3 min 24 sec) 
Heartbeat CPU  0 instructions:  115000002 cycles:   54136611 heartbeat IPC: 0.84725 cumulative IPC: 0.84299 (Simulation time: 0 hr 3 min 26 sec) 
Heartbeat CPU  0 instructions:  116000000 cycles:   55322001 heartbeat IPC: 0.84360 cumulative IPC: 0.84303 (Simulation time: 0 hr 3 min 29 sec) 
Heartbeat CPU  0 instructions:  117000003 cycles:   56509449 heartbeat IPC: 0.84214 cumulative IPC: 0.84298 (Simulation time: 0 hr 3 min 31 sec) 
Heartbeat CPU  0 instructions:  118000003 cycles:   57700392 heartbeat IPC: 0.83967 cumulative IPC: 0.84279 (Simulation time: 0 hr 3 min 33 sec) 
Heartbeat CPU  0 instructions:  119000002 cycles:   58882680 heartbeat IPC: 0.84582 cumulative IPC: 0.84295 (Simulation time: 0 hr 3 min 36 sec) 
Heartbeat CPU  0 instructions:  120000000 cycles:   60068851 heartbeat IPC: 0.84305 cumulative IPC: 0.84296 (Simulation time: 0 hr 3 min 38 sec) 
Heartbeat CPU  0 instructions:  121000001 cycles:   61255105 heartbeat IPC: 0.84299 cumulative IPC: 0.84296 (Simulation time: 0 hr 3 min 40 sec) 
Heartbeat CPU  0 instructions:  122000001 cycles:   62444678 heartbeat IPC: 0.84064 cumulative IPC: 0.84285 (Simulation time: 0 hr 3 min 43 sec) 
Heartbeat CPU  0 instructions:  123000002 cycles:   63625280 heartbeat IPC: 0.84703 cumulative IPC: 0.84303 (Simulation time: 0 hr 3 min 45 sec) 
Heartbeat CPU  0 instructions:  124000000 cycles:   64879572 heartbeat IPC: 0.79726 cumulative IPC: 0.84102 (Simulation time: 0 hr 3 min 47 sec) 
Heartbeat CPU  0 instructions:  125000000 cycles:   66560156 heartbeat IPC: 0.59503 cumulative IPC: 0.82734 (Simulation time: 0 hr 3 min 51 sec) 
Heartbeat CPU  0 instructions:  126000001 cycles:   68493229 heartbeat IPC: 0.51731 cumulative IPC: 0.80870 (Simulation time: 0 hr 3 min 54 sec) 
Heartbeat CPU  0 instructions:  127000001 cycles:   69990222 heartbeat IPC: 0.66801 cumulative IPC: 0.80244 (Simulation time: 0 hr 3 min 57 sec) 
Heartbeat CPU  0 instructions:  128000000 cycles:   71259090 heartbeat IPC: 0.78810 cumulative IPC: 0.80192 (Simulation time: 0 hr 4 min 0 sec) 
Heartbeat CPU  0 instructions:  129000000 cycles:   72523340 heartbeat IPC: 0.79098 cumulative IPC: 0.80154 (Simulation time: 0 hr 4 min 2 sec) 
Heartbeat CPU  0 instructions:  130000002 cycles:   73786493 heartbeat IPC: 0.79167 cumulative IPC: 0.80120 (Simulation time: 0 hr 4 min 5 sec) 
Heartbeat CPU  0 instructions:  131000001 cycles:   75038097 heartbeat IPC: 0.79897 cumulative IPC: 0.80113 (Simulation time: 0 hr 4 min 7 sec) 
Heartbeat CPU  0 instructions:  132000000 cycles:   76266666 heartbeat IPC: 0.81395 cumulative IPC: 0.80153 (Simulation time: 0 hr 4 min 10 sec) 
Heartbeat CPU  0 instructions:  133000000 cycles:   77455966 heartbeat IPC: 0.84083 cumulative IPC: 0.80266 (Simulation time: 0 hr 4 min 12 sec) 
Heartbeat CPU  0 instructions:  134000000 cycles:   78633363 heartbeat IPC: 0.84933 cumulative IPC: 0.80396 (Simulation time: 0 hr 4 min 15 sec) 
Heartbeat CPU  0 instructions:  135000002 cycles:   79812922 heartbeat IPC: 0.84778 cumulative IPC: 0.80515 (Simulation time: 0 hr 4 min 17 sec) 
Heartbeat CPU  0 instructions:  136000000 cycles:   81008474 heartbeat IPC: 0.83643 cumulative IPC: 0.80599 (Simulation time: 0 hr 4 min 20 sec) 
Heartbeat CPU  0 instructions:  137000001 cycles:   82203508 heartbeat IPC: 0.83680 cumulative IPC: 0.80679 (Simulation time: 0 hr 4 min 23 sec) 
Heartbeat CPU  0 instructions:  138000000 cycles:   83393931 heartbeat IPC: 0.84004 cumulative IPC: 0.80763 (Simulation time: 0 hr 4 min 25 sec) 
Heartbeat CPU  0 instructions:  139000002 cycles:   84577949 heartbeat IPC: 0.84458 cumulative IPC: 0.80854 (Simulation time: 0 hr 4 min 28 sec) 
Heartbeat CPU  0 instructions:  140000000 cycles:   85768556 heartbeat IPC: 0.83991 cumulative IPC: 0.80929 (Simulation time: 0 hr 4 min 30 sec) 
Heartbeat CPU  0 instructions:  141000002 cycles:   86945287 heartbeat IPC: 0.84981 cumulative IPC: 0.81024 (Simulation time: 0 hr 4 min 33 sec) 
Heartbeat CPU  0 instructions:  142000003 cycles:   88130999 heartbeat IPC: 0.84338 cumulative IPC: 0.81100 (Simulation time: 0 hr 4 min 35 sec) 
Heartbeat CPU  0 instructions:  143000003 cycles:   89321772 heartbeat IPC: 0.83979 cumulative IPC: 0.81164 (Simulation time: 0 hr 4 min 38 sec) 
Heartbeat CPU  0 instructions:  144000000 cycles:   90513976 heartbeat IPC: 0.83878 cumulative IPC: 0.81224 (Simulation time: 0 hr 4 min 40 sec) 
Heartbeat CPU  0 instructions:  145000003 cycles:   91696979 heartbeat IPC: 0.84531 cumulative IPC: 0.81295 (Simulation time: 0 hr 4 min 43 sec) 
Heartbeat CPU  0 instructions:  146000001 cycles:   92886705 heartbeat IPC: 0.84053 cumulative IPC: 0.81353 (Simulation time: 0 hr 4 min 45 sec) 
Heartbeat CPU  0 instructions:  147000000 cycles:   94067742 heartbeat IPC: 0.84671 cumulative IPC: 0.81421 (Simulation time: 0 hr 4 min 48 sec) 
