*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 21 2024 21:50:18
*************************************************
parsing config file: /home/shichen/os/compile-time-prefetcher-classification/ChampSim/config/spp_dev2.ini

trace_0 /home/shichen/os/compile-time-prefetcher-classification/ChampSim/traces/462.libquantum-1343B.champsimtrace.xz
Heartbeat CPU  0 instructions:   35000002 cycles:   22612493 heartbeat IPC: 1.06401 cumulative IPC: 1.54782 (Simulation time: 0 hr 0 min 43 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   23551683 heartbeat IPC: 1.06475 cumulative IPC: 1.52855 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:   37000002 cycles:   24490920 heartbeat IPC: 1.06470 cumulative IPC: 1.51076 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  0 instructions:   38000002 cycles:   25431532 heartbeat IPC: 1.06314 cumulative IPC: 1.49421 (Simulation time: 0 hr 0 min 47 sec) 
Heartbeat CPU  0 instructions:   39000002 cycles:   26369568 heartbeat IPC: 1.06606 cumulative IPC: 1.47898 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   27310839 heartbeat IPC: 1.06239 cumulative IPC: 1.46462 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  0 instructions:   41000000 cycles:   28250965 heartbeat IPC: 1.06369 cumulative IPC: 1.45128 (Simulation time: 0 hr 0 min 52 sec) 
Heartbeat CPU  0 instructions:   42000001 cycles:   29190802 heartbeat IPC: 1.06402 cumulative IPC: 1.43881 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  0 instructions:   43000003 cycles:   30132909 heartbeat IPC: 1.06145 cumulative IPC: 1.42701 (Simulation time: 0 hr 0 min 55 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   31071854 heartbeat IPC: 1.06502 cumulative IPC: 1.41607 (Simulation time: 0 hr 0 min 56 sec) 
Heartbeat CPU  0 instructions:   45000000 cycles:   31789406 heartbeat IPC: 1.39363 cumulative IPC: 1.41557 (Simulation time: 0 hr 0 min 58 sec) 
Heartbeat CPU  0 instructions:   46000001 cycles:   32307495 heartbeat IPC: 1.93017 cumulative IPC: 1.42382 (Simulation time: 0 hr 1 min 0 sec) 
Heartbeat CPU  0 instructions:   47000003 cycles:   32825592 heartbeat IPC: 1.93014 cumulative IPC: 1.43181 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   33343624 heartbeat IPC: 1.93038 cumulative IPC: 1.43956 (Simulation time: 0 hr 1 min 4 sec) 
Heartbeat CPU  0 instructions:   49000003 cycles:   33861733 heartbeat IPC: 1.93010 cumulative IPC: 1.44706 (Simulation time: 0 hr 1 min 7 sec) 
Heartbeat CPU  0 instructions:   50000003 cycles:   34379799 heartbeat IPC: 1.93026 cumulative IPC: 1.45434 (Simulation time: 0 hr 1 min 9 sec) 
Heartbeat CPU  0 instructions:   51000002 cycles:   34897874 heartbeat IPC: 1.93022 cumulative IPC: 1.46141 (Simulation time: 0 hr 1 min 11 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   35415932 heartbeat IPC: 1.93028 cumulative IPC: 1.46827 (Simulation time: 0 hr 1 min 13 sec) 
Heartbeat CPU  0 instructions:   53000003 cycles:   35934053 heartbeat IPC: 1.93006 cumulative IPC: 1.47492 (Simulation time: 0 hr 1 min 15 sec) 
Heartbeat CPU  0 instructions:   54000003 cycles:   36452109 heartbeat IPC: 1.93029 cumulative IPC: 1.48140 (Simulation time: 0 hr 1 min 17 sec) 
Heartbeat CPU  0 instructions:   55000002 cycles:   36970174 heartbeat IPC: 1.93026 cumulative IPC: 1.48769 (Simulation time: 0 hr 1 min 19 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   37488234 heartbeat IPC: 1.93027 cumulative IPC: 1.49380 (Simulation time: 0 hr 1 min 21 sec) 
Heartbeat CPU  0 instructions:   57000003 cycles:   38006347 heartbeat IPC: 1.93009 cumulative IPC: 1.49975 (Simulation time: 0 hr 1 min 24 sec) 
Heartbeat CPU  0 instructions:   58000003 cycles:   38524433 heartbeat IPC: 1.93018 cumulative IPC: 1.50554 (Simulation time: 0 hr 1 min 26 sec) 
Heartbeat CPU  0 instructions:   59000002 cycles:   39042500 heartbeat IPC: 1.93025 cumulative IPC: 1.51117 (Simulation time: 0 hr 1 min 28 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   39644683 heartbeat IPC: 1.66062 cumulative IPC: 1.51344 (Simulation time: 0 hr 1 min 29 sec) 
Heartbeat CPU  0 instructions:   61000003 cycles:   40254035 heartbeat IPC: 1.64109 cumulative IPC: 1.51538 (Simulation time: 0 hr 1 min 30 sec) 
Heartbeat CPU  0 instructions:   62000003 cycles:   40863463 heartbeat IPC: 1.64088 cumulative IPC: 1.51725 (Simulation time: 0 hr 1 min 31 sec) 
Heartbeat CPU  0 instructions:   63000003 cycles:   41472799 heartbeat IPC: 1.64113 cumulative IPC: 1.51907 (Simulation time: 0 hr 1 min 32 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   42082120 heartbeat IPC: 1.64117 cumulative IPC: 1.52084 (Simulation time: 0 hr 1 min 33 sec) 
Heartbeat CPU  0 instructions:   65000000 cycles:   42691439 heartbeat IPC: 1.64118 cumulative IPC: 1.52255 (Simulation time: 0 hr 1 min 34 sec) 
Heartbeat CPU  0 instructions:   66000003 cycles:   43300824 heartbeat IPC: 1.64100 cumulative IPC: 1.52422 (Simulation time: 0 hr 1 min 35 sec) 
Heartbeat CPU  0 instructions:   67000003 cycles:   43910172 heartbeat IPC: 1.64110 cumulative IPC: 1.52584 (Simulation time: 0 hr 1 min 37 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   44519593 heartbeat IPC: 1.64090 cumulative IPC: 1.52742 (Simulation time: 0 hr 1 min 38 sec) 
Heartbeat CPU  0 instructions:   69000003 cycles:   45128915 heartbeat IPC: 1.64117 cumulative IPC: 1.52895 (Simulation time: 0 hr 1 min 39 sec) 
Heartbeat CPU  0 instructions:   70000003 cycles:   45738188 heartbeat IPC: 1.64130 cumulative IPC: 1.53045 (Simulation time: 0 hr 1 min 40 sec) 
Heartbeat CPU  0 instructions:   71000003 cycles:   46347520 heartbeat IPC: 1.64114 cumulative IPC: 1.53191 (Simulation time: 0 hr 1 min 41 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   46956875 heartbeat IPC: 1.64107 cumulative IPC: 1.53332 (Simulation time: 0 hr 1 min 42 sec) 
Heartbeat CPU  0 instructions:   73000003 cycles:   47566222 heartbeat IPC: 1.64111 cumulative IPC: 1.53470 (Simulation time: 0 hr 1 min 43 sec) 
Heartbeat CPU  0 instructions:   74000000 cycles:   48175633 heartbeat IPC: 1.64092 cumulative IPC: 1.53605 (Simulation time: 0 hr 1 min 44 sec) 
Heartbeat CPU  0 instructions:   75000003 cycles:   48784916 heartbeat IPC: 1.64128 cumulative IPC: 1.53736 (Simulation time: 0 hr 1 min 45 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   49394228 heartbeat IPC: 1.64119 cumulative IPC: 1.53864 (Simulation time: 0 hr 1 min 46 sec) 
Heartbeat CPU  0 instructions:   77000002 cycles:   50003831 heartbeat IPC: 1.64042 cumulative IPC: 1.53988 (Simulation time: 0 hr 1 min 47 sec) 
Heartbeat CPU  0 instructions:   78000001 cycles:   50613475 heartbeat IPC: 1.64030 cumulative IPC: 1.54109 (Simulation time: 0 hr 1 min 49 sec) 
Heartbeat CPU  0 instructions:   79000000 cycles:   51223122 heartbeat IPC: 1.64029 cumulative IPC: 1.54227 (Simulation time: 0 hr 1 min 50 sec) 
Heartbeat CPU  0 instructions:   80000000 cycles:   51832762 heartbeat IPC: 1.64031 cumulative IPC: 1.54343 (Simulation time: 0 hr 1 min 51 sec) 
Heartbeat CPU  0 instructions:   81000000 cycles:   52442258 heartbeat IPC: 1.64070 cumulative IPC: 1.54456 (Simulation time: 0 hr 1 min 52 sec) 
Heartbeat CPU  0 instructions:   82000000 cycles:   53051834 heartbeat IPC: 1.64048 cumulative IPC: 1.54566 (Simulation time: 0 hr 1 min 53 sec) 
Heartbeat CPU  0 instructions:   83000001 cycles:   53612880 heartbeat IPC: 1.78239 cumulative IPC: 1.54814 (Simulation time: 0 hr 1 min 54 sec) 
Heartbeat CPU  0 instructions:   84000000 cycles:   54133055 heartbeat IPC: 1.92243 cumulative IPC: 1.55173 (Simulation time: 0 hr 1 min 55 sec) 
Heartbeat CPU  0 instructions:   85000000 cycles:   54653727 heartbeat IPC: 1.92059 cumulative IPC: 1.55525 (Simulation time: 0 hr 1 min 56 sec) 
Heartbeat CPU  0 instructions:   86000000 cycles:   55174486 heartbeat IPC: 1.92027 cumulative IPC: 1.55869 (Simulation time: 0 hr 1 min 57 sec) 
Heartbeat CPU  0 instructions:   87000002 cycles:   55694857 heartbeat IPC: 1.92171 cumulative IPC: 1.56208 (Simulation time: 0 hr 1 min 58 sec) 
Heartbeat CPU  0 instructions:   88000000 cycles:   56214697 heartbeat IPC: 1.92366 cumulative IPC: 1.56543 (Simulation time: 0 hr 2 min 0 sec) 
Heartbeat CPU  0 instructions:   89000001 cycles:   56734312 heartbeat IPC: 1.92450 cumulative IPC: 1.56872 (Simulation time: 0 hr 2 min 1 sec) 
Heartbeat CPU  0 instructions:   90000001 cycles:   57254976 heartbeat IPC: 1.92062 cumulative IPC: 1.57192 (Simulation time: 0 hr 2 min 2 sec) 
Heartbeat CPU  0 instructions:   91000001 cycles:   57775642 heartbeat IPC: 1.92062 cumulative IPC: 1.57506 (Simulation time: 0 hr 2 min 3 sec) 
Heartbeat CPU  0 instructions:   92000000 cycles:   58296355 heartbeat IPC: 1.92044 cumulative IPC: 1.57814 (Simulation time: 0 hr 2 min 4 sec) 
Heartbeat CPU  0 instructions:   93000000 cycles:   58816691 heartbeat IPC: 1.92184 cumulative IPC: 1.58118 (Simulation time: 0 hr 2 min 5 sec) 
Heartbeat CPU  0 instructions:   94000000 cycles:   59336569 heartbeat IPC: 1.92353 cumulative IPC: 1.58418 (Simulation time: 0 hr 2 min 6 sec) 
Heartbeat CPU  0 instructions:   95000002 cycles:   59856131 heartbeat IPC: 1.92470 cumulative IPC: 1.58714 (Simulation time: 0 hr 2 min 7 sec) 
Heartbeat CPU  0 instructions:   96000000 cycles:   60376837 heartbeat IPC: 1.92047 cumulative IPC: 1.59001 (Simulation time: 0 hr 2 min 9 sec) 
Heartbeat CPU  0 instructions:   97000003 cycles:   60897420 heartbeat IPC: 1.92093 cumulative IPC: 1.59284 (Simulation time: 0 hr 2 min 10 sec) 
Heartbeat CPU  0 instructions:   98000001 cycles:   61418155 heartbeat IPC: 1.92036 cumulative IPC: 1.59562 (Simulation time: 0 hr 2 min 11 sec) 
Heartbeat CPU  0 instructions:   99000000 cycles:   61937975 heartbeat IPC: 1.92374 cumulative IPC: 1.59837 (Simulation time: 0 hr 2 min 12 sec) 
Heartbeat CPU  0 instructions:  100000000 cycles:   62458230 heartbeat IPC: 1.92213 cumulative IPC: 1.60107 (Simulation time: 0 hr 2 min 13 sec) 

Warmup complete CPU  0 instructions:  100000001 cycles:   62458231 (Simulation time: 0 hr 2 min 13 sec) 

Heartbeat CPU  0 instructions:  101000001 cycles:   63546848 heartbeat IPC: 0.91860 cumulative IPC: 0.91860 (Simulation time: 0 hr 2 min 15 sec) 
Heartbeat CPU  0 instructions:  102000000 cycles:   64635984 heartbeat IPC: 0.91816 cumulative IPC: 0.91838 (Simulation time: 0 hr 2 min 18 sec) 
Heartbeat CPU  0 instructions:  103000003 cycles:   65724313 heartbeat IPC: 0.91884 cumulative IPC: 0.91853 (Simulation time: 0 hr 2 min 20 sec) 
Heartbeat CPU  0 instructions:  104000000 cycles:   66807059 heartbeat IPC: 0.92357 cumulative IPC: 0.91979 (Simulation time: 0 hr 2 min 22 sec) 
Heartbeat CPU  0 instructions:  105000001 cycles:   67892094 heartbeat IPC: 0.92163 cumulative IPC: 0.92016 (Simulation time: 0 hr 2 min 25 sec) 
Heartbeat CPU  0 instructions:  106000000 cycles:   69060282 heartbeat IPC: 0.85603 cumulative IPC: 0.90881 (Simulation time: 0 hr 2 min 27 sec) 
Heartbeat CPU  0 instructions:  107000003 cycles:   70378435 heartbeat IPC: 0.75864 cumulative IPC: 0.88382 (Simulation time: 0 hr 2 min 29 sec) 
Heartbeat CPU  0 instructions:  108000000 cycles:   71707227 heartbeat IPC: 0.75256 cumulative IPC: 0.86496 (Simulation time: 0 hr 2 min 32 sec) 
Heartbeat CPU  0 instructions:  109000001 cycles:   73063329 heartbeat IPC: 0.73741 cumulative IPC: 0.84865 (Simulation time: 0 hr 2 min 34 sec) 
Heartbeat CPU  0 instructions:  110000000 cycles:   74415996 heartbeat IPC: 0.73928 cumulative IPC: 0.83628 (Simulation time: 0 hr 2 min 36 sec) 
Heartbeat CPU  0 instructions:  111000003 cycles:   75759836 heartbeat IPC: 0.74414 cumulative IPC: 0.82697 (Simulation time: 0 hr 2 min 39 sec) 
Heartbeat CPU  0 instructions:  112000000 cycles:   77109796 heartbeat IPC: 0.74076 cumulative IPC: 0.81903 (Simulation time: 0 hr 2 min 41 sec) 
Heartbeat CPU  0 instructions:  113000001 cycles:   78433968 heartbeat IPC: 0.75519 cumulative IPC: 0.81373 (Simulation time: 0 hr 2 min 43 sec) 
Heartbeat CPU  0 instructions:  114000000 cycles:   79783347 heartbeat IPC: 0.74108 cumulative IPC: 0.80808 (Simulation time: 0 hr 2 min 46 sec) 
Heartbeat CPU  0 instructions:  115000000 cycles:   81103238 heartbeat IPC: 0.75764 cumulative IPC: 0.80450 (Simulation time: 0 hr 2 min 48 sec) 
Heartbeat CPU  0 instructions:  116000000 cycles:   82450214 heartbeat IPC: 0.74240 cumulative IPC: 0.80032 (Simulation time: 0 hr 2 min 50 sec) 
Heartbeat CPU  0 instructions:  117000000 cycles:   83804531 heartbeat IPC: 0.73838 cumulative IPC: 0.79639 (Simulation time: 0 hr 2 min 53 sec) 
Heartbeat CPU  0 instructions:  118000003 cycles:   85139261 heartbeat IPC: 0.74922 cumulative IPC: 0.79361 (Simulation time: 0 hr 2 min 55 sec) 
Heartbeat CPU  0 instructions:  119000002 cycles:   86481848 heartbeat IPC: 0.74483 cumulative IPC: 0.79089 (Simulation time: 0 hr 2 min 57 sec) 
Heartbeat CPU  0 instructions:  120000000 cycles:   87806517 heartbeat IPC: 0.75490 cumulative IPC: 0.78901 (Simulation time: 0 hr 3 min 0 sec) 
Heartbeat CPU  0 instructions:  121000000 cycles:   89166018 heartbeat IPC: 0.73556 cumulative IPC: 0.78629 (Simulation time: 0 hr 3 min 2 sec) 
Heartbeat CPU  0 instructions:  122000003 cycles:   90533572 heartbeat IPC: 0.73123 cumulative IPC: 0.78361 (Simulation time: 0 hr 3 min 4 sec) 
Heartbeat CPU  0 instructions:  123000002 cycles:   91900318 heartbeat IPC: 0.73166 cumulative IPC: 0.78119 (Simulation time: 0 hr 3 min 7 sec) 
Heartbeat CPU  0 instructions:  124000000 cycles:   93276349 heartbeat IPC: 0.72673 cumulative IPC: 0.77876 (Simulation time: 0 hr 3 min 9 sec) 
Heartbeat CPU  0 instructions:  125000003 cycles:   94624457 heartbeat IPC: 0.74178 cumulative IPC: 0.77721 (Simulation time: 0 hr 3 min 11 sec) 
Heartbeat CPU  0 instructions:  126000003 cycles:   95963537 heartbeat IPC: 0.74678 cumulative IPC: 0.77600 (Simulation time: 0 hr 3 min 14 sec) 
Heartbeat CPU  0 instructions:  127000003 cycles:   97314894 heartbeat IPC: 0.74000 cumulative IPC: 0.77460 (Simulation time: 0 hr 3 min 16 sec) 
Heartbeat CPU  0 instructions:  128000000 cycles:   98645273 heartbeat IPC: 0.75166 cumulative IPC: 0.77376 (Simulation time: 0 hr 3 min 18 sec) 
Heartbeat CPU  0 instructions:  129000002 cycles:   99985468 heartbeat IPC: 0.74616 cumulative IPC: 0.77277 (Simulation time: 0 hr 3 min 21 sec) 
Heartbeat CPU  0 instructions:  130000003 cycles:  101066841 heartbeat IPC: 0.92475 cumulative IPC: 0.77703 (Simulation time: 0 hr 3 min 23 sec) 
Heartbeat CPU  0 instructions:  131000000 cycles:  102133209 heartbeat IPC: 0.93776 cumulative IPC: 0.78135 (Simulation time: 0 hr 3 min 25 sec) 
Heartbeat CPU  0 instructions:  132000000 cycles:  103172555 heartbeat IPC: 0.96214 cumulative IPC: 0.78596 (Simulation time: 0 hr 3 min 28 sec) 
Heartbeat CPU  0 instructions:  133000002 cycles:  104214622 heartbeat IPC: 0.95963 cumulative IPC: 0.79030 (Simulation time: 0 hr 3 min 30 sec) 
Heartbeat CPU  0 instructions:  134000001 cycles:  105250946 heartbeat IPC: 0.96495 cumulative IPC: 0.79453 (Simulation time: 0 hr 3 min 33 sec) 
Heartbeat CPU  0 instructions:  135000000 cycles:  106287315 heartbeat IPC: 0.96491 cumulative IPC: 0.79856 (Simulation time: 0 hr 3 min 35 sec) 
Heartbeat CPU  0 instructions:  136000000 cycles:  107323063 heartbeat IPC: 0.96549 cumulative IPC: 0.80241 (Simulation time: 0 hr 3 min 37 sec) 
Heartbeat CPU  0 instructions:  137000002 cycles:  108359732 heartbeat IPC: 0.96463 cumulative IPC: 0.80607 (Simulation time: 0 hr 3 min 39 sec) 
Heartbeat CPU  0 instructions:  138000001 cycles:  109395748 heartbeat IPC: 0.96524 cumulative IPC: 0.80959 (Simulation time: 0 hr 3 min 42 sec) 
Heartbeat CPU  0 instructions:  139000000 cycles:  110430823 heartbeat IPC: 0.96611 cumulative IPC: 0.81296 (Simulation time: 0 hr 3 min 44 sec) 
Heartbeat CPU  0 instructions:  140000000 cycles:  111467047 heartbeat IPC: 0.96504 cumulative IPC: 0.81618 (Simulation time: 0 hr 3 min 46 sec) 
Heartbeat CPU  0 instructions:  141000003 cycles:  112504612 heartbeat IPC: 0.96380 cumulative IPC: 0.81924 (Simulation time: 0 hr 3 min 49 sec) 
Heartbeat CPU  0 instructions:  142000000 cycles:  113547787 heartbeat IPC: 0.95861 cumulative IPC: 0.82209 (Simulation time: 0 hr 3 min 51 sec) 
Heartbeat CPU  0 instructions:  143000000 cycles:  114584503 heartbeat IPC: 0.96458 cumulative IPC: 0.82492 (Simulation time: 0 hr 3 min 53 sec) 
Heartbeat CPU  0 instructions:  144000000 cycles:  115620946 heartbeat IPC: 0.96484 cumulative IPC: 0.82765 (Simulation time: 0 hr 3 min 56 sec) 
Heartbeat CPU  0 instructions:  145000001 cycles:  116663704 heartbeat IPC: 0.95900 cumulative IPC: 0.83017 (Simulation time: 0 hr 3 min 58 sec) 
Heartbeat CPU  0 instructions:  146000001 cycles:  117702627 heartbeat IPC: 0.96254 cumulative IPC: 0.83266 (Simulation time: 0 hr 4 min 1 sec) 
Heartbeat CPU  0 instructions:  147000003 cycles:  118749389 heartbeat IPC: 0.95533 cumulative IPC: 0.83494 (Simulation time: 0 hr 4 min 3 sec) 
